model,make,year,displ,cyl,trans,trans_type,drive,fuel,veh_class,city_mpg,hwy_mpg,cmb_mpg,air_pollution_score,greenhouse_gas_score,smartway
ACURA MDX,ACURA,2008,3.7,6,Auto-S5,Auto,4WD,Gasoline,SUV,15,20,17,7,4,No
ACURA MDX,ACURA,2008,3.7,6,Auto-S5,Auto,4WD,Gasoline,SUV,15,20,17,6,4,No
ACURA RDX,ACURA,2008,2.3,4,Auto-S5,Auto,4WD,Gasoline,SUV,17,22,19,7,5,No
ACURA RDX,ACURA,2008,2.3,4,Auto-S5,Auto,4WD,Gasoline,SUV,17,22,19,6,5,No
ACURA RL,ACURA,2008,3.5,6,Auto-S5,Auto,4WD,Gasoline,midsize car,16,24,19,7,5,No
ACURA RL,ACURA,2008,3.5,6,Auto-S5,Auto,4WD,Gasoline,midsize car,16,24,19,6,5,No
ACURA TL,ACURA,2008,3.2,6,Auto-S5,Auto,2WD,Gasoline,midsize car,18,26,21,7,6,Yes
ACURA TL,ACURA,2008,3.5,6,Auto-S5,Auto,2WD,Gasoline,midsize car,17,26,20,7,6,Yes
ACURA TL,ACURA,2008,3.5,6,Man-6,Man,2WD,Gasoline,midsize car,18,27,21,7,6,Yes
ACURA TL,ACURA,2008,3.2,6,Auto-S5,Auto,2WD,Gasoline,midsize car,18,26,21,6,6,No
ACURA TL,ACURA,2008,3.5,6,Auto-S5,Auto,2WD,Gasoline,midsize car,17,26,20,6,6,No
ACURA TL,ACURA,2008,3.5,6,Man-6,Man,2WD,Gasoline,midsize car,18,27,21,6,6,No
ACURA TSX,ACURA,2008,2.4,4,Man-6,Man,2WD,Gasoline,small car,19,28,22,6,6,No
ACURA TSX,ACURA,2008,2.4,4,Auto-S5,Auto,2WD,Gasoline,small car,20,28,23,6,7,Yes
ASTON MARTIN DB9,ASTON,2008,5.9,12,Man-6,Man,2WD,Gasoline,small car,10,16,12,6,0,No
ASTON MARTIN DB9,ASTON,2008,5.9,12,Auto-S6,Auto,2WD,Gasoline,small car,11,18,13,6,1,No
ASTON MARTIN DB9 Volante,ASTON,2008,5.9,12,Man-6,Man,2WD,Gasoline,small car,10,16,12,6,0,No
ASTON MARTIN DB9 Volante,ASTON,2008,5.9,12,Auto-S6,Auto,2WD,Gasoline,small car,11,17,13,6,1,No
ASTON MARTIN V8 Vantage,ASTON,2008,4.3,8,Man-6,Man,2WD,Gasoline,small car,12,19,15,6,3,No
ASTON MARTIN V8 Vantage,ASTON,2008,4.3,8,Auto-S6,Auto,2WD,Gasoline,small car,13,20,15,6,3,No
AUDI A3,AUDI,2008,2.0,4,Man-6,Man,2WD,Gasoline,station wagon,21,29,24,7,7,Yes
AUDI A3,AUDI,2008,2.0,4,Auto-S6,Auto,2WD,Gasoline,station wagon,22,29,25,7,7,Yes
AUDI A3,AUDI,2008,2.0,4,Man-6,Man,2WD,Gasoline,station wagon,21,29,24,6,7,Yes
AUDI A3,AUDI,2008,2.0,4,Auto-S6,Auto,2WD,Gasoline,station wagon,22,29,25,6,7,Yes
AUDI A3,AUDI,2008,3.2,6,Auto-S6,Auto,4WD,Gasoline,station wagon,18,25,21,6,6,No
AUDI A4,AUDI,2008,2.0,4,Auto-AV,Auto,2WD,Gasoline,small car,21,30,24,7,7,Yes
AUDI A4,AUDI,2008,2.0,4,Auto-AV,Auto,2WD,Gasoline,small car,21,30,24,6,7,Yes
AUDI A4,AUDI,2008,3.1,6,Man-6,Man,4WD,Gasoline,small car,15,25,19,6,5,No
AUDI A4,AUDI,2008,3.1,6,Auto-S6,Auto,4WD,Gasoline,small car,17,25,20,6,6,No
AUDI A4,AUDI,2008,3.1,6,Auto-AV,Auto,2WD,Gasoline,small car,18,27,21,6,6,No
AUDI A4 Avant,AUDI,2008,3.1,6,Man-6,Man,4WD,Gasoline,station wagon,15,25,19,6,5,No
AUDI A4 Avant,AUDI,2008,3.1,6,Auto-S6,Auto,4WD,Gasoline,station wagon,17,25,20,6,6,No
AUDI A4 Cabriolet,AUDI,2008,3.1,6,Auto-S6,Auto,4WD,Gasoline,small car,17,25,20,6,6,No
AUDI A6,AUDI,2008,3.1,6,Auto-S6,Auto,4WD,Gasoline,midsize car,17,25,20,6,6,No
AUDI A6,AUDI,2008,3.1,6,Auto-AV,Auto,2WD,Gasoline,midsize car,18,27,21,6,6,No
